customer_id,first_name,last_name,gender,DOB
1,Laraine,Medendorp,F,1953-10-12 00:00:00
2,Eli,Bockman,Male,1980-12-16 00:00:00
3,Arlin,Dearle,Male,1954-01-20 00:00:00
4,Talbot,,Male,1961-10-03 00:00:00
5,Sheila-kathryn,Calton,Female,1977-05-13 00:00:00
6,Curr,Duckhouse,Male,1966-09-16 00:00:00
7,Fina,Merali,Female,1976-02-23 00:00:00
8,Rod,Inder,Male,1962-03-30 00:00:00
9,Mala,Lind,Female,1973-03-10 00:00:00
10,Fiorenze,Birdall,Female,1988-10-11 00:00:00
11,Uriah,Bisatt,Male,1954-04-30 00:00:00
12,Sawyere,Flattman,Male,1994-07-21 00:00:00
13,Gabriele,Norcross,Male,1955-02-15 00:00:00
14,Rayshell,Kitteman,Female,1983-03-25 00:00:00
15,Erroll,Radage,Male,2000-07-13 00:00:00
16,Harlin,Parr,Male,1977-02-27 00:00:00
17,Heath,Faraday,Male,1962-03-19 00:00:00
18,Marjie,Neasham,Female,1967-07-06 00:00:00
19,Sorcha,Keyson,Female,2001-04-15 00:00:00
20,Basile,Firth,Male,1980-08-13 00:00:00
21,Mile,Cammocke,Male,1980-09-20 00:00:00
22,Deeanne,Durtnell,Female,1962-12-10 00:00:00
23,Olav,Polak,Male,1995-02-10 00:00:00
24,Kim,Skpsey,Female,1977-12-03 00:00:00
25,Geoff,Assaf,Male,1976-12-02 00:00:00
26,Trixi,Ginnelly,Female,1978-06-10 00:00:00
27,Garvin,Klees,Male,1978-09-25 00:00:00
28,Fee,Zellmer,Male,1973-09-30 00:00:00
29,Mona,Sancraft,Female,1968-06-22 00:00:00
30,Darrick,Helleckas,Male,1961-10-18 00:00:00
31,Star,Praton,Female,1962-11-24 00:00:00
32,Marion,Vanichkin,Female,1995-04-20 00:00:00
33,Ernst,Hacon,Male,1957-06-25 00:00:00
34,Jephthah,Bachmann,U,1843-12-21
35,Margaretha,Strettle,Female,1963-09-28 00:00:00
36,Lurette,Stonnell,Female,1977-11-09 00:00:00
37,Laurie,Dwerryhouse,Female,1985-12-22 00:00:00
38,Cordi,Merman,Female,1955-10-29 00:00:00
39,Hunfredo,Smalley,Male,1979-04-16 00:00:00
40,Tomasine,Jerche,Female,1981-10-27 00:00:00
41,Basilius,Coupe,Male,1976-04-14 00:00:00
42,Chiquita,Durnall,Female,1977-03-28 00:00:00
43,Indira,Belt,Female,1983-03-01 00:00:00
44,Neron,Verick,Male,1981-10-18 00:00:00
45,Trace,Woodhead,Male,1975-09-23 00:00:00
46,Kaila,Allin,Female,1972-02-26 00:00:00
47,Matthew,Jeaycock,Male,1992-10-22 00:00:00
48,Rebbecca,Casone,Female,1975-08-15 00:00:00
49,Nolly,Ownsworth,Male,1994-01-26 00:00:00
50,Whitby,Schapero,Male,1980-10-01 00:00:00
51,Fidelio,Dilke,Male,1959-12-05 00:00:00
52,Curran,Bentson,Male,1988-06-22 00:00:00
53,Agnella,Gocke,Female,1954-04-18 00:00:00
54,Loralyn,Wonfor,Femal,1966-07-24 00:00:00
55,Linc,Jillions,Male,1956-09-24 00:00:00
56,Reese,Ensor,Male,1996-07-04 00:00:00
57,Abba,Masedon,M,1988-06-13 00:00:00
58,Dalenna,Pinnock,Female,1967-07-04 00:00:00
59,Niki,Heathcote,Male,2000-02-08 00:00:00
60,Nadiya,Champerlen,Female,1970-02-04 00:00:00
61,Kacey,Rowbottom,Female,1959-11-29 00:00:00
62,Sorcha,Roggers,Female,1979-07-06 00:00:00
63,Ebony,Zini,Female,1965-07-03 00:00:00
64,Gerek,Yve,Male,1978-03-25 00:00:00
65,Yale,Tanser,Male,1976-04-01 00:00:00
66,Anselm,Gawne,Male,2002-03-11 00:00:00
67,Vernon,,Male,1960-06-14 00:00:00
68,Dahlia,Eddoes,Female,1974-04-21 00:00:00
69,Heidi,Milner,Female,1969-06-22 00:00:00
70,Foster,Vannoort,Male,1993-02-27 00:00:00
71,Hoyt,Glavias,Male,1985-01-27 00:00:00
72,Sammy,Cheese,Male,1972-02-13 00:00:00
73,Minette,Worters,Female,1960-05-27 00:00:00
74,Pansy,Kiddie,Female,1969-06-19 00:00:00
75,Dollie,Sealy,Female,1978-07-15 00:00:00
76,Rea,Hasser,Female,1978-01-23 00:00:00
77,Shermie,Andrin,Male,1989-09-12 00:00:00
78,Arch,Van der Kruis,Male,1985-03-12 00:00:00
79,Tybi,Silliman,Female,1968-10-02 00:00:00
80,Pablo,Small,Male,1978-04-24 00:00:00
81,Bee,Blazewicz,Female,1986-09-04 00:00:00
82,Gleda,Cokely,Female,1965-06-28 00:00:00
83,Kerr,Simmell,Male,1967-02-26 00:00:00
84,Rich,Mathiasen,Male,1958-02-07 00:00:00
85,Kane,Tixall,Male,1958-05-21 00:00:00
86,Job,Sleney,Male,1989-03-04 00:00:00
87,Fields,Langdon,Male,1974-04-23 00:00:00
88,Malynda,Tumber,Female,1966-02-03 00:00:00
89,Benedicto,Hoxey,Male,1967-01-22 00:00:00
90,Cary,Garron,Male,1984-11-12 00:00:00
91,Dylan,Meaker,Male,1955-02-24 00:00:00
