customer_id,address,postcode,state,country
1,060 Morning Avenue,2016,New South Wales,Australia
2,6 Meadow Vale Court,2153,New South Wales,Australia
3,0 Holy Cross Court,4211,QLD,Australia
4,17979 Del Mar Point,2448,New South Wales,Australia
5,9 Oakridge Court,3216,VIC,Australia
6,4 Delaware Trail,2210,New South Wales,Australia
7,49 Londonderry Lane,2650,New South Wales,Australia
8,97736 7th Trail,2023,New South Wales,Australia
9,93405 Ludington Park,3044,VIC,Australia
10,44339 Golden Leaf Alley,4557,QLD,Australia
11,2 Sutherland Street,3799,VIC,Australia
12,9 Mcbride Trail,2760,New South Wales,Australia
13,9861 New Castle Avenue,2428,New South Wales,Australia
14,52 Moland Street,3331,VIC,Australia
15,82391 Kensington Lane,3058,VIC,Australia
16,092 2nd Alley,2135,New South Wales,Australia
17,59 Spaight Circle,2233,New South Wales,Australia
18,032 Bartelt Crossing,2444,New South Wales,Australia
19,18 Jenna Center,2650,New South Wales,Australia
20,3 Cordelia Plaza,2153,New South Wales,Australia
21,28 5th Center,4413,QLD,Australia
22,52 Carey Alley,4740,QLD,Australia
23,96 Texas Plaza,3218,VIC,Australia
24,48 Eagan Avenue,4868,QLD,Australia
25,9 Buell Park,4116,QLD,Australia
26,02663 Buell Parkway,2519,New South Wales,Australia
27,2294 Pleasure Place,2135,New South Wales,Australia
28,2951 Petterle Place,2756,New South Wales,Australia
29,63 Lukken Drive,2170,New South Wales,Australia
30,833 Luster Way,4005,QLD,Australia
31,34 Russell Plaza,4127,QLD,Australia
32,78 Del Sol Hill,2535,New South Wales,Australia
33,54 Sage Plaza,4726,QLD,Australia
34,90 Lawn Parkway,4805,QLD,Australia
35,38726 Ilene Crossing,2212,New South Wales,Australia
36,3496 Brown Drive,2207,New South Wales,Australia
37,7188 Cody Way,3350,VIC,Australia
38,1 Claremont Park,3931,VIC,Australia
39,60 Eagan Circle,4018,QLD,Australia
40,89314 Eagle Crest Center,4670,QLD,Australia
41,2028 Lakewood Place,2480,New South Wales,Australia
42,70875 Hudson Point,3212,VIC,Australia
43,543 Killdeer Park,2322,New South Wales,Australia
44,22125 Ramsey Drive,3198,VIC,Australia
45,3107 Calypso Terrace,2210,New South Wales,Australia
46,957 Veith Junction,2047,New South Wales,Australia
47,4853 Gulseth Avenue,4503,QLD,Australia
48,9 Michigan Terrace,2145,New South Wales,Australia
49,62 Steensland Road,4350,QLD,Australia
50,6 Homewood Avenue,2142,New South Wales,Australia
51,15 Almo Lane,2029,New South Wales,Australia
52,690 Glacier Hill Circle,2127,New South Wales,Australia
53,89787 Village Green Terrace,4280,QLD,Australia
54,18 Elgar Park,2166,New South Wales,Australia
55,413 Mayer Street,2046,New South Wales,Australia
56,39 3rd Drive,2026,New South Wales,Australia
57,44516 Katie Parkway,2765,New South Wales,Australia
58,41 Schurz Center,2749,New South Wales,Australia
59,68150 Boyd Road,2745,New South Wales,Australia
60,11474 Westend Hill,3752,VIC,Australia
61,308 Jana Crossing,2153,New South Wales,Australia
62,163 Straubel Trail,2217,New South Wales,Australia
63,68294 Clarendon Crossing,2230,New South Wales,Australia
64,486 Mariners Cove Plaza,3046,VIC,Australia
65,0322 Dryden Court,3183,VIC,Australia
66,9 Bonner Road,2070,New South Wales,Australia
67,07041 Briar Crest Lane,2213,New South Wales,Australia
68,29466 Hanson Pass,4208,QLD,Australia
69,0212 Forest Run Trail,2774,New South Wales,Australia
70,33055 Menomonie Parkway,4133,QLD,Australia
71,4763 Merchant Avenue,2756,New South Wales,Australia
72,439 Ridgeway Court,4213,QLD,Australia
73,2 Clyde Gallagher Lane,4170,QLD,Australia
74,97455 Loeprich Lane,2153,New South Wales,Australia
75,9527 Ridgeway Street,2073,New South Wales,Australia
76,7 Jackson Point,3561,VIC,Australia
77,74 Anniversary Junction,2330,New South Wales,Australia
78,2083 Spaight Court,3977,VIC,Australia
79,2796 Caliangt Circle,2204,New South Wales,Australia
80,96061 Ludington Place,2086,New South Wales,Australia
81,5037 Merchant Crossing,2226,New South Wales,Australia
82,289 Haas Street,2075,New South Wales,Australia
83,4423 Bartelt Parkway,2038,New South Wales,Australia
84,5 Grim Center,2069,New South Wales,Australia
85,73042 Roth Crossing,2100,New South Wales,Australia
86,171 Fordem Junction,2233,New South Wales,Australia
87,2640 Manley Point,2166,New South Wales,Australia
88,3 Hintze Pass,3133,VIC,Australia
89,2 Mcbride Road,3070,VIC,Australia
90,67234 Transport Hill,2777,New South Wales,Australia
91,72 Dorton Crossing,3133,VIC,Australia
92,6 Heffernan Center,2125,New South Wales,Australia
93,6088 Roxbury Hill,2766,New South Wales,Australia
94,105 Shelley Alley,2209,New South Wales,Australia
95,079 Merry Park,2160,New South Wales,Australia
96,8722 Summit Alley,2065,New South Wales,Australia
97,9554 Artisan Pass,2150,New South Wales,Australia
98,55850 Butterfield Road,2168,New South Wales,Australia
99,68 Little Fleur Crossing,2046,New South Wales,Australia
100,85688 New Castle Crossing,4171,QLD,Australia
101,8611 Loomis Lane,2155,New South Wales,Australia
102,7909 Pierstorff Crossing,2517,New South Wales,Australia
103,01 Muir Parkway,2096,New South Wales,Australia
104,0410 Division Junction,2750,New South Wales,Australia
105,41 Service Lane,2217,New South Wales,Australia
106,5 Moose Road,3977,VIC,Australia
107,7342 Fieldstone Junction,2093,New South Wales,Australia
108,0 David Terrace,3204,VIC,Australia
109,15239 Northwestern Point,4300,QLD,Australia
110,60 Oneill Street,2170,New South Wales,Australia
111,8194 Sachtjen Drive,3844,VIC,Australia
112,0349 Farmco Terrace,2168,New South Wales,Australia
113,185 Pennsylvania Way,4226,QLD,Australia
114,432 Longview Circle,3192,VIC,Australia
115,5814 Bunker Hill Street,3070,VIC,Australia
116,7 Carberry Crossing,2485,New South Wales,Australia
117,53 Talisman Trail,2097,New South Wales,Australia
118,5 Prairie Rose Road,4817,QLD,Australia
119,84 Florence Parkway,2516,New South Wales,Australia
120,739 Elmside Way,3074,VIC,Australia
121,684 Northport Circle,2213,New South Wales,Australia
122,8 Hagan Hill,4508,QLD,Australia
123,0 Pearson Crossing,4405,QLD,Australia
124,10918 Merry Way,2452,New South Wales,Australia
125,97 Coolidge Trail,2142,New South Wales,Australia
126,58 Helena Hill,2205,New South Wales,Australia
127,352 Forster Place,4132,QLD,Australia
128,12306 Lawn Street,2145,New South Wales,Australia
129,19392 7th Trail,4744,QLD,Australia
130,1605 Northfield Junction,2158,New South Wales,Australia
131,9674 Graceland Junction,3201,VIC,Australia
132,638 Thackeray Junction,4178,QLD,Australia
133,869 Forster Circle,2112,New South Wales,Australia
134,0 Golden Leaf Crossing,2033,New South Wales,Australia
135,215 Lindbergh Trail,4401,QLD,Australia
136,829 Washington Crossing,3186,VIC,Australia
137,585 Loomis Court,2097,New South Wales,Australia
138,68063 Blue Bill Park Center,3058,VIC,Australia
139,15673 Farmco Point,4017,QLD,Australia
140,22 Oxford Junction,2315,New South Wales,Australia
141,7245 Cottonwood Center,2285,New South Wales,Australia
